delivery_no	scope_group	scope_group_no	name_en	name_ja	slug	page_kind	programme_status	acquisition_status	note_status	note_ref	profile_status	en_route_status	ja_route_status	qa_status	source_last_checked	evidence_reviewed_at	profile_last_reviewed	page_published_at	remarks
26	v0_candidate	21	Trinidad and Tobago	トリニダード・トバゴ	trinidad-and-tobago	country	published	remote_complete	reviewed	docs/country-page-notes/26-trinidad-and-tobago.md	reviewed	published	published	passed	2026-06-18	2026-06-19	2026-06-19	2026-06-22	Published after corrected rendered Cloudflare preview and bilingual public-boundary QA.
27	v0_candidate	22	Barbados	バルバドス	barbados	country	published	remote_complete	reviewed	docs/country-page-notes/27-barbados.md	reviewed	published	published	passed	2026-06-18	2026-06-19	2026-06-19	2026-06-22	Published after corrected rendered Cloudflare preview and bilingual public-boundary QA.
28	v0_candidate	23	Martinique	マルティニーク	martinique	country	published	remote_partial	reviewed	docs/country-page-notes/28-martinique.md	reviewed	published	published	passed	2026-06-18	2026-06-19	2026-06-19	2026-06-22	Published after corrected rendered Cloudflare preview and bilingual public-boundary QA.
29	v0_1_candidate	1	United Kingdom	イギリス	united-kingdom	country	published	remote_complete	reviewed	docs/country-page-notes/29-united-kingdom.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-28	Published after rendered Cloudflare preview and bilingual public-boundary QA.
30	v0_1_candidate	2	United States	アメリカ	united-states	country	published	remote_partial	reviewed	docs/country-page-notes/30-united-states.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-28	Published after rendered Cloudflare preview and bilingual public-boundary QA; national multi-code coverage remains incomplete.
31	v0_1_candidate	3	Australia	オーストラリア	australia	country	published	remote_partial	reviewed	docs/country-page-notes/31-australia.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-28	Published after rendered Cloudflare preview and bilingual public-boundary QA; wider state and code coverage remains incomplete.
32	v0_1_candidate	4	Ireland	アイルランド	ireland	country	published	remote_complete	reviewed	docs/country-page-notes/32-ireland.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-28	Published after rendered Cloudflare preview and bilingual public-boundary QA.
33	v0_1_candidate	5	France	フランス	france	country	published	remote_complete	reviewed	docs/country-page-notes/33-france.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-28	Published after rendered Cloudflare preview and bilingual public-boundary QA.
34	v0_1_candidate	6	Canada	カナダ	canada	country	published	remote_partial	reviewed	docs/country-page-notes/34-canada.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-28	Published after rendered Cloudflare preview and bilingual public-boundary QA; national coverage remains incomplete.
35	v0_1_candidate	7	Saudi Arabia	サウジアラビア	saudi-arabia	country	published	remote_complete	reviewed	docs/country-page-notes/35-saudi-arabia.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-28	Published after rendered Cloudflare preview and bilingual public-boundary QA.
36	v0_1_candidate	8	India	インド	india	country	published	remote_partial	reviewed	docs/country-page-notes/36-india.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-28	Published after rendered Cloudflare preview and bilingual public-boundary QA; national club coverage remains incomplete.
37	v0_1_candidate	9	Malaysia	マレーシア	malaysia	country	published	remote_complete	reviewed	docs/country-page-notes/37-malaysia.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-28	Published after rendered Cloudflare preview and bilingual public-boundary QA.
38	v0_1_candidate	10	Thailand	タイ	thailand	country	published	remote_partial	reviewed	docs/country-page-notes/38-thailand.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-28	Published after rendered Cloudflare preview and bilingual public-boundary QA; wider country coverage remains unresolved.
39	v0_1_candidate	11	Philippines	フィリピン	philippines	country	published	remote_complete	reviewed	docs/country-page-notes/39-philippines.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-28	Published after rendered Cloudflare preview and bilingual public-boundary QA.
40	v0_1_candidate	12	Mauritius	モーリシャス	mauritius	country	published	remote_complete	reviewed	docs/country-page-notes/40-mauritius.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-28	Published after rendered Cloudflare preview and bilingual public-boundary QA.
41	v0_1_candidate	13	Argentina	アルゼンチン	argentina	country	published	remote_partial	reviewed	docs/country-page-notes/41-argentina.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-28	Published after rendered Cloudflare preview and bilingual public-boundary QA; wider racecourse coverage remains incomplete.
42	v0_1_candidate	15	Germany	ドイツ	germany	country	published	remote_partial	reviewed	docs/country-page-notes/42-germany.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-28	Published after rendered Cloudflare preview and bilingual public-boundary QA; other horse-racing codes remain unreviewed.
43	v0_1_candidate	16	Italy	イタリア	italy	country	published	remote_complete	reviewed	docs/country-page-notes/43-italy.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-28	Published after rendered Cloudflare preview and bilingual public-boundary QA.
44	v0_1_candidate	17	Spain	スペイン	spain	country	published	remote_partial	reviewed	docs/country-page-notes/44-spain.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-28	Published after rendered Cloudflare preview and bilingual public-boundary QA; wider horse-racing code coverage remains incomplete.
45	v0_1_candidate	18	Norway	ノルウェー	norway	country	published	remote_complete	reviewed	docs/country-page-notes/45-norway.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-29	Published after rendered Cloudflare preview and bilingual public-boundary QA; harness and gallop remain separate reviewed systems.
46	v0_1_candidate	19	Finland	フィンランド	finland	country	published	remote_complete	reviewed	docs/country-page-notes/46-finland.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-29	Published after rendered Cloudflare preview and bilingual public-boundary QA.
47	v0_1_candidate	20	Netherlands	オランダ	netherlands	country	published	remote_complete	reviewed	docs/country-page-notes/47-netherlands.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-29	Published after rendered Cloudflare preview and bilingual public-boundary QA.
48	v0_1_candidate	21	Switzerland	スイス	switzerland	country	published	remote_complete	reviewed	docs/country-page-notes/48-switzerland.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-29	Published after rendered Cloudflare preview and bilingual public-boundary QA; trot and gallop remain separate reviewed systems.
49	v0_1_candidate	22	Poland	ポーランド	poland	country	published	remote_complete	reviewed	docs/country-page-notes/49-poland.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-29	Published after rendered Cloudflare preview and bilingual public-boundary QA.
50	v0_1_candidate	23	Romania	ルーマニア	romania	country	published	remote_partial	reviewed	docs/country-page-notes/50-romania.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-29	Published after rendered Cloudflare preview and bilingual public-boundary QA; wider country coverage remains incomplete.
51	v0_1_candidate	24	Serbia	セルビア	serbia	country	published	remote_partial	reviewed	docs/country-page-notes/51-serbia.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-29	Published after rendered Cloudflare preview and bilingual public-boundary QA; wider country coverage remains incomplete.
52	v0_1_candidate	25	Slovakia	スロバキア	slovakia	country	published	remote_complete	reviewed	docs/country-page-notes/52-slovakia.md	reviewed	published	published	passed	2026-06-20	2026-06-20	2026-06-20	2026-06-29	Published after rendered Cloudflare preview and bilingual public-boundary QA; first-race capability is not generalized beyond country ceiling C.
53	v0_1_candidate	26	Cyprus	キプロス	cyprus	country	published	remote_complete	reviewed	docs/country-page-notes/53-cyprus.md	reviewed	published	published	passed	2026-06-29	2026-06-29	2026-06-29	2026-06-29	Published after approved rendered preview and bilingual public-boundary QA; countrywide manual C-level treatment retained.
54	v0_1_candidate	27	Panama	パナマ	panama	country	published	remote_complete	reviewed	docs/country-page-notes/54-panama.md	reviewed	published	published	passed	2026-06-29	2026-06-29	2026-06-29	2026-06-29	Published after approved rendered preview and bilingual public-boundary QA; Hipódromo Presidente Remón remains the reviewed single-racecourse scope.
55	v0_1_candidate	28	Kuwait	クウェート	kuwait	country	published	local_required	reviewed	docs/country-page-notes/55-kuwait.md	reviewed	published	published	passed	2026-06-29	2026-06-29	2026-06-29	2026-06-29	Published after approved rendered preview and bilingual public-boundary QA; app-based link-only calendar treatment retained.
56	v0_1_candidate	29	Kenya	ケニア	kenya	country	published	remote_complete	reviewed	docs/country-page-notes/56-kenya.md	reviewed	published	published	passed	2026-06-29	2026-06-29	2026-06-29	2026-06-29	Published after approved rendered preview and bilingual public-boundary QA; Ngong Racecourse remains the reviewed single-racecourse scope.
57	v0_2_candidate	1	Pakistan	パキスタン	pakistan	country	published	remote_partial	reviewed	docs/country-page-notes/57-pakistan.md	reviewed	published	published	passed	2026-06-29	2026-06-29	2026-06-29	2026-06-29	Published after approved rendered preview and bilingual public-boundary QA; stale Lahore link-only treatment and incomplete national coverage retained.
58	v0_2_candidate	2	Ecuador	エクアドル	ecuador	country	published	remote_partial	reviewed	docs/country-page-notes/58-ecuador.md	reviewed	published	published	passed	2026-06-29	2026-06-29	2026-06-29	2026-06-29	Published after approved rendered preview and bilingual public-boundary QA; manual single-racecourse confirmation retained.
59	v0_2_candidate	3	Venezuela	ベネズエラ	venezuela	country	published	remote_partial	reviewed	docs/country-page-notes/59-venezuela.md	reviewed	published	published	passed	2026-06-29	2026-06-29	2026-06-29	2026-06-29	Published after approved rendered preview and bilingual public-boundary QA; current-calendar rows remain blocked pending a stable public upcoming source.
60	v0_2_candidate	4	Belgium	ベルギー	belgium	country	published	remote_complete	reviewed	docs/country-page-notes/60-belgium.md	reviewed	published	published	passed	2026-06-29	2026-06-29	2026-06-29	2026-06-29	Published after approved rendered preview and bilingual public-boundary QA; technical rank A remains behind country public ceiling C.
61	v0_2_candidate	5	Slovenia	スロベニア	slovenia	country	published	remote_partial	reviewed	docs/country-page-notes/61-slovenia.md	reviewed	published	published	passed	2026-06-29	2026-06-29	2026-06-29	2026-06-29	Published after rendered-preview approval; federation link-only treatment retained.
62	v0_2_candidate	6	Croatia	クロアチア	croatia	country	published	remote_complete	reviewed	docs/country-page-notes/62-croatia.md	reviewed	published	published	passed	2026-06-29	2026-06-29	2026-06-29	2026-06-29	Published after rendered-preview approval; Zagreb manual C-level scope retained.
63	v0_2_candidate	7	Dominican Republic	ドミニカ共和国	dominican-republic	country	published	remote_complete	reviewed	docs/country-page-notes/63-dominican-republic.md	reviewed	published	published	passed	2026-06-29	2026-06-29	2026-06-29	2026-06-29	Published after rendered-preview approval; Hipódromo V Centenario single-racecourse scope retained.
64	v0_2_candidate	8	Tunisia	チュニジア	tunisia	country	published	remote_partial	reviewed	docs/country-page-notes/64-tunisia.md	reviewed	published	published	passed	2026-06-29	2026-06-29	2026-06-29	2026-06-29	Published after rendered-preview approval; manual confirmation and partial national coverage retained.
65	v0_2_candidate	9	Lebanon	レバノン	lebanon	country	published	remote_partial	reviewed	docs/country-page-notes/65-lebanon.md	reviewed	published	published	passed	2026-06-29	2026-06-29	2026-06-29	2026-06-29	Published after rendered-preview approval; authority context remains link-only.
66	v0_2_candidate	10	Libya	リビア	libya	country	published	remote_partial	reviewed	docs/country-page-notes/66-libya.md	reviewed	published	published	passed	2026-06-29	2026-06-29	2026-06-29	2026-06-29	Published after rendered-preview approval; official racing route remains link-only.
67	v0_2_candidate	11	Mainland China	中国本土	mainland-china	country	published	remote_partial	reviewed	docs/country-page-notes/67-mainland-china.md	reviewed	published	published	passed	2026-06-29	2026-06-29	2026-06-29	2026-06-29	Published after rendered-preview approval; current-calendar rows remain on hold pending an official Conghua calendar.
68	v0_2_candidate	12	Indonesia	インドネシア	indonesia	country	published	remote_complete	reviewed	docs/country-page-notes/68-indonesia.md	reviewed	published	published	passed	2026-06-29	2026-06-29	2026-06-29	2026-06-29	Published after rendered-preview approval; PORDASI manual calendar treatment retained.
69	v0_2_candidate	13	Russia	ロシア	russia	country	note_reviewed	remote_partial	reviewed	docs/country-page-notes/69-russia.md	not_started	missing	missing	not_started	2026-06-29	2026-06-29			Reviewed public-safe country note completed; link-only official-source boundary retained.
70	v0_2_candidate	14	Namibia	ナミビア	namibia	country	note_reviewed	remote_partial	reviewed	docs/country-page-notes/70-namibia.md	not_started	missing	missing	not_started	2026-06-29	2026-06-29			Reviewed public-safe country note completed; link-only sport-governance boundary retained.
71	v0_2_candidate	15	Nigeria	ナイジェリア	nigeria	country	note_reviewed	remote_partial	reviewed	docs/country-page-notes/71-nigeria.md	not_started	missing	missing	not_started	2026-06-29	2026-06-29			Reviewed public-safe country note completed; link-only federation boundary retained.
72	v0_2_candidate	16	Belize	ベリーズ	belize	country	note_reviewed	remote_complete	reviewed	docs/country-page-notes/72-belize.md	not_started	missing	missing	not_started	2026-06-29	2026-06-29			Reviewed public-safe country note completed; bounded C-level prototype boundary retained.
73	link_or_hold	1	Colombia	コロンビア	colombia	country	note_reviewed	remote_partial	reviewed	docs/country-page-notes/73-colombia.md	not_started	missing	missing	not_started	2026-06-29	2026-06-29			Reviewed public-safe country note completed; blocked current-calendar boundary retained.
74	link_or_hold	2	Lithuania	リトアニア	lithuania	country	note_reviewed	remote_complete	reviewed	docs/country-page-notes/74-lithuania.md	not_started	missing	missing	not_started	2026-06-29	2026-06-29			Reviewed public-safe country note completed; bounded C-level trotting prototype retained.
75	link_or_hold	3	Estonia	エストニア	estonia	country	note_reviewed	remote_complete	reviewed	docs/country-page-notes/75-estonia.md	not_started	missing	missing	not_started	2026-06-29	2026-06-29			Reviewed public-safe country note completed; bounded Tuula single-racecourse prototype retained.
76	link_or_hold	4	Guyana	ガイアナ	guyana	country	note_reviewed	remote_partial	reviewed	docs/country-page-notes/76-guyana.md	not_started	missing	missing	not_started	2026-06-29	2026-06-29			Reviewed public-safe country note completed; blocked legal-context boundary retained.
77	link_or_hold	5	Kazakhstan	カザフスタン	kazakhstan	country	not_started	not_started	not_started		not_started	missing	missing	not_started					
78	link_or_hold	6	Egypt	エジプト	egypt	country	not_started	not_started	not_started		not_started	missing	missing	not_started					
79	link_or_hold	7	Algeria	アルジェリア	algeria	country	not_started	not_started	not_started		not_started	missing	missing	not_started					
80	link_or_hold	8	Iran	イラン	iran	country	not_started	not_started	not_started		not_started	missing	missing	not_started					
81	link_or_hold	9	Vietnam	ベトナム	vietnam	country	not_started	not_started	not_started		not_started	missing	missing	not_started					
82	link_or_hold	10	Bolivia	ボリビア	bolivia	country	not_started	not_started	not_started		not_started	missing	missing	not_started					
83	link_or_hold	11	Guatemala	グアテマラ	guatemala	country	not_started	not_started	not_started		not_started	missing	missing	not_started					
84	link_or_hold	12	Honduras	ホンジュラス	honduras	country	not_started	not_started	not_started		not_started	missing	missing	not_started					
85	link_or_hold	13	Ghana	ガーナ	ghana	country	not_started	not_started	not_started		not_started	missing	missing	not_started					
86	under_review_special	1	Saint Kitts and Nevis	セントクリストファー・ネイビス	saint-kitts-and-nevis	special	not_started	not_started	not_started		not_started	missing	missing	not_started					Special handling required before publication.
87	under_review_special	2	Jordan	ヨルダン	jordan	special	not_started	not_started	not_started		not_started	missing	missing	not_started					Special handling required before publication.
88	under_review_special	3	Iraq	イラク	iraq	special	not_started	not_started	not_started		not_started	missing	missing	not_started					Special handling required before publication.
89	under_review_special	4	Azerbaijan	アゼルバイジャン	azerbaijan	special	not_started	not_started	not_started		not_started	missing	missing	not_started					Special handling required before publication.
90	under_review_special	5	Mongolia	モンゴル	mongolia	special	not_started	not_started	not_started		not_started	missing	missing	not_started					Special handling required before publication.
91	under_review_special	6	Botswana	ボツワナ	botswana	special	not_started	not_started	not_started		not_started	missing	missing	not_started					Special handling required before publication.
92	exclusion_leaning	1	Costa Rica	コスタリカ	costa-rica	explanatory	not_started	not_started	not_started		not_started	missing	missing	not_started					Explanatory detail page required; do not claim an active confirmed racing calendar without evidence.
93	exclusion_leaning	2	Nicaragua	ニカラグア	nicaragua	explanatory	not_started	not_started	not_started		not_started	missing	missing	not_started					Explanatory detail page required; do not claim an active confirmed racing calendar without evidence.
94	exclusion_leaning	3	El Salvador	エルサルバドル	el-salvador	explanatory	not_started	not_started	not_started		not_started	missing	missing	not_started					Explanatory detail page required; do not claim an active confirmed racing calendar without evidence.
95	exclusion_leaning	4	Tanzania	タンザニア	tanzania	explanatory	not_started	not_started	not_started		not_started	missing	missing	not_started					Explanatory detail page required; do not claim an active confirmed racing calendar without evidence.
96	archive	1	Singapore	シンガポール	singapore	archive	not_started	not_started	not_started		not_started	missing	missing	not_started					Archive detail page required; excluded from current calendar listings.
97	archive	2	Macau	マカオ	macau	archive	not_started	not_started	not_started		not_started	missing	missing	not_started					Archive detail page required; excluded from current calendar listings.
98	archive	3	Greece	ギリシャ	greece	archive	not_started	not_started	not_started		not_started	missing	missing	not_started					Archive detail page required; excluded from current calendar listings.
