legacy_id	legacy_term_en	legacy_category	source_layer	proposed_concept_key	proposed_category	decision	canonical_en_proposal	user_importance	verification_status	migration_note
racecourse	Racecourse	track_term	base_static	racecourse	08_racecourse_and_course_structure	KEEP_AS_CONCEPT	Racecourse	core	master_source_review_required	Keep venue concept; Racetrack/Track must be researched as variants or separate context-dependent concepts.
meeting	Meeting	data_term	base_static	race-meeting	02_meetings_and_scheduling	RENAME_CANONICAL	Race meeting	core	master_source_review_required	Use neutral concept Race meeting; keep Meeting as established short/regional label where evidenced.
racecard	Racecard	data_term	base_static	racecard	02_meetings_and_scheduling	KEEP_WITH_SCOPE	Racecard	core	master_source_review_required	Keep as document/page concept; do not conflate with entries dataset or programme in every jurisdiction.
post-time	Post time	data_term	base_static	scheduled-race-start-time	02_meetings_and_scheduling	MERGE_AS_VARIANT	Scheduled race start time	core	master_source_review_required	Legacy headword is too regional. Preserve Post time as a regional label after evidence pass; add other regional labels separately.
fixture	Fixture	data_term	base_static	fixture	02_meetings_and_scheduling	KEEP_WITH_REGIONAL_SCOPE	Fixture	core	master_source_review_required	Keep as scheduled calendar-item concept; do not make it an exact synonym of Race meeting.
jockey	Jockey	role	base_static	jockey	07_people_and_roles	KEEP_AS_CONCEPT	Jockey	important	master_source_review_required	Keep role concept; named participant datasets remain outside glossary publication.
driver	Driver	role	base_static	harness-driver	07_people_and_roles	KEEP_WITH_SCOPE	Driver	important	master_source_review_required	Retain only with harness-racing context; generic driver meaning must not leak into concept scope.
trainer	Trainer	role	base_static	trainer	07_people_and_roles	KEEP_AS_CONCEPT	Trainer	important	master_source_review_required	Keep role concept; jurisdiction-specific licensing/title variants belong in Labels/Regional Usage.
turf	Turf	surface	base_static	turf-surface	09_surface_and_condition	KEEP_AS_CONCEPT	Turf	core	master_source_review_required	Keep surface/material concept; current going/condition is separate.
dirt	Dirt	surface	base_static	dirt-surface	09_surface_and_condition	KEEP_WITH_SCOPE	Dirt	core	master_source_review_required	Keep broad surface concept but record jurisdiction-specific composition and official naming.
all-weather	All-weather course	surface	base_static	all-weather-surface	09_surface_and_condition	RENAME_CANONICAL	All-weather surface	core	master_source_review_required	Rename away from venue/course wording so material/surface is not confused with course geometry.
jump-course	Jump course	surface	base_static	jump-course	08_racecourse_and_course_structure	RECLASSIFY	Jump course	important	master_source_review_required	Legacy category is wrong: this is course/layout/obstacle structure, not surface material.
left-handed-course	Left-handed course	track_term	base_static	left-handed-course	08_racecourse_and_course_structure	KEEP_AS_CONCEPT	Left-handed course	important	master_source_review_required	Keep course-direction concept; local wording variants require jurisdiction research.
right-handed-course	Right-handed course	track_term	base_static	right-handed-course	08_racecourse_and_course_structure	KEEP_AS_CONCEPT	Right-handed course	important	master_source_review_required	Keep course-direction concept; local wording variants require jurisdiction research.
both-directions-course	Course using both directions	track_term	base_static	both-directions-course-use	08_racecourse_and_course_structure	KEEP_WITH_SCOPE	Course used in both directions	supporting	master_source_review_required	Retain as a course-use property pending evidence for preferred global headword; do not invent synonymy.
straight-course	Straight course	track_term	base_static	straight-course	08_racecourse_and_course_structure	KEEP_AS_CONCEPT	Straight course	important	master_source_review_required	Keep course-structure concept; distinguish full straight courses from straight segments.
owner	Owner	role	role_overlay	owner	07_people_and_roles	KEEP_AS_CONCEPT	Owner	supporting	master_source_review_required	Keep role definition only; ownership records/lists are separate datasets.
breeder	Breeder	role	role_overlay	breeder	07_people_and_roles	KEEP_AS_CONCEPT	Breeder	supporting	master_source_review_required	Keep role definition; pedigree/breeding datasets remain separate.
steward	Steward	role	role_overlay	steward	07_people_and_roles	KEEP_WITH_SCOPE	Steward	important	master_source_review_required	Keep racing-official role; authority/title differences require jurisdiction research.
starter	Starter	role	role_overlay	starter	07_people_and_roles	KEEP_AS_CONCEPT	Starter	supporting	master_source_review_required	Keep official role separate from start time and starting equipment.
clerk-of-scales	Clerk of the scales	role	role_overlay	clerk-of-scales	07_people_and_roles	KEEP_WITH_REGIONAL_SCOPE	Clerk of the scales	supporting	master_source_review_required	Keep as regional official role; map local equivalents only when evidence supports equivalence.
entries	Entries	data_term	timetable_overlay	entry	04_entry_and_participation_process	SPLIT_REQUIRED	Entry	important	master_source_review_required	Legacy plural mixes the act/status of entry with an entries list/dataset. MASTER-003 must model process concept and document/dataset context separately.
odds	Odds	data_term	timetable_overlay	odds	16_betting_and_odds_terminology	KEEP_AS_CONCEPT	Odds	supporting	master_source_review_required	Keep knowledge concept; meeting-specific odds remain outside publication boundary.
results	Results	data_term	timetable_overlay	race-result	15_results_inquiry_and_adjudication	SPLIT_REQUIRED	Race result	important	master_source_review_required	Separate race outcome concept from a published results page/dataset; do not use plural dataset label as sole canonical identity.
payouts	Payouts	data_term	timetable_overlay	payout	16_betting_and_odds_terminology	KEEP_WITH_REGIONAL_SCOPE	Payout	supporting	master_source_review_required	Keep betting-return concept but map dividend/return terminology by jurisdiction rather than asserting global synonymy.
official-source	Official source	official_source	official_source_overlay	official-source	UNMAPPED_SUPPORT_CONCEPT	DEFER_FROM_WORLD_GLOSSARY	Official source	deferred	not_migrated_pending_scope_review	Provenance is useful metadata, but this generic WHR-facing concept is not part of the 16-category racing knowledge taxonomy. Keep in source model unless a public knowledge use is justified.
official-calendar	Official calendar	official_source	official_source_overlay	official-racing-calendar	02_meetings_and_scheduling	KEEP_WITH_SCOPE	Official racing calendar	important	master_source_review_required	Retain as an official schedule/document concept tied to meetings/fixtures; provenance is an attribute.
official-racecard	Official racecard	official_source	official_source_overlay	official-racecard	02_meetings_and_scheduling	KEEP_WITH_SCOPE	Official racecard	important	master_source_review_required	Retain as authoritative document/source subtype; keep separate from generic Racecard and from entries datasets.
link-first-source	Link-first source	official_source	official_source_overlay	link-first-source	UNMAPPED_SUPPORT_CONCEPT	DEFER_FROM_WORLD_GLOSSARY	Link-first source	deferred	not_migrated_pending_scope_review	This is a Where Horses Run source-handling policy term, not world racing terminology. Keep in governance/operations documentation.
source-status	Source status	official_source	official_source_overlay	source-status	UNMAPPED_SUPPORT_CONCEPT	DEFER_FROM_WORLD_GLOSSARY	Source status	deferred	not_migrated_pending_scope_review	This is a Where Horses Run operational state model, not a racing concept. Keep outside the public terminology master.
governing-body	Governing body	governance_term	official_source_overlay	racing-governing-body	UNMAPPED_GOVERNANCE_ORGANIZATION	TAXONOMY_GAP_REVIEW	Racing governing body	important	master_source_review_required	Legitimate racing concept, but the initial 16-category taxonomy lacks an organizations/governance category. MASTER-003 must resolve this gap explicitly.
racing-authority	Racing authority	governance_term	official_source_overlay	racing-authority	UNMAPPED_GOVERNANCE_ORGANIZATION	TAXONOMY_GAP_REVIEW	Racing authority	important	master_source_review_required	Legitimate racing concept; do not force into People and roles. Resolve governance/organization taxonomy in MASTER-003.
racecourse-operator	Racecourse operator	governance_term	official_source_overlay	racecourse-operator	UNMAPPED_GOVERNANCE_ORGANIZATION	TAXONOMY_GAP_REVIEW	Racecourse operator	important	master_source_review_required	Legitimate organization/function concept; needs an explicit governance/organization taxonomy decision in MASTER-003.
