query_id	concept_id	related_concept_id	query	language	country_or_locale	search_intent	query_type	priority	future_target	review_state	source_basis
SQ-4021	TRAIN-023	TRAIN-021	Spell vs layoff in horse racing: how is the Australian spell concept narrower?	en	en-AU	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-014
SQ-4022	TRAIN-023	TRAIN-021	競馬のspellとlayoffの違いは？豪州のspellがより限定的な休養概念である理由	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-014
SQ-4023	BET-030	BET-032	Favorite vs longshot in horse racing betting: what is the contrast?	en		comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-015
SQ-4024	BET-030	BET-032	競馬のfavoriteとlongshotの違いは？人気馬と高オッズ馬の対照	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-015
SQ-4025	MEET-042	MEET-001	France Galop Meeting vs race meeting (réunion): what is the difference?	en	fr-FR	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-016
SQ-4026	MEET-042	MEET-001	フランス競馬のMeetingとrace meeting（réunion）の違いは？開催シリーズと1日開催	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-016
SQ-4027	MEET-040	MEET-001	Réunion Premium vs ordinary race meeting in France: what makes Premium a subtype?	en	fr-FR	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-017
SQ-4028	MEET-040	MEET-001	フランス競馬のRéunion Premiumと通常のrace meetingの違いは？Premium開催区分の位置づけ	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-017
SQ-4029	MEET-041	MEET-001	Réunion PMH vs ordinary race meeting in France: what makes PMH a subtype?	en	fr-FR	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-018
SQ-4030	MEET-041	MEET-001	フランス競馬のRéunion PMHと通常のrace meetingの違いは？PMH開催区分の位置づけ	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-018
SQ-4031	RUN-046	RUN-009	Tactical pacemaker vs pacesetter in horse racing: why is the tactical role narrower?	en		comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-019
SQ-4032	RUN-046	RUN-009	競馬のtactical pacemakerとpacesetterの違いは？僚馬支援の役割がより限定的な理由	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-019
SQ-4033	MEET-028	MEET-029	Off time vs scheduled start time in horse racing: actual start versus published schedule	en		comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-020
SQ-4034	MEET-028	MEET-029	競馬のoff timeとscheduled start timeの違いは？実発走時刻と予定発走時刻	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-020
SQ-4035	HORSE-034	SURF-012	Wet-track aptitude vs track condition: horse trait versus surface state	en	en-AU	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-021
SQ-4036	HORSE-034	SURF-012	競馬のwet-track aptitudeとtrack conditionの違いは？馬の適性と馬場状態	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-021
SQ-4037	RUN-047	RUN-048	Travelling easily vs under pressure in race commentary: what is the contrast?	en		comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-022
SQ-4038	RUN-047	RUN-048	競馬実況のtravelling easilyとunder pressureの違いは？余力がある状態と追われる状態	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-022
SQ-4039	BET-044	BET-043	Dominant betting concentration vs strong betting support: why is dominant concentration narrower?	en		comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-023
SQ-4040	BET-044	BET-043	競馬のdominant betting concentrationとstrong betting supportの違いは？圧倒的集中がより限定的な理由	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-023
