review_id	usage_id	candidate_target	label	jurisdiction	candidate_domain	issue	next_action	priority
REGREV-011	REG-027	NEW-REVIEW-JP-OYAKODONBURI	親子どんぶり	Japan/JRA	RESULT/RELATION	Outcome pattern combines common ownership/stable relationship with 1-2 finish.	Review whether this belongs only as colloquial usage without public Concept.	P3
REGREV-012	REG-028	NEW-REVIEW-JP-ZUBUI	ズブい	Japan/JRA	HORSE/RUN	Response/acceleration characteristic, not a fixed running style.	Review horse-behaviour/performance characteristic ontology.	P2
REGREV-013	REG-029	NEW-REVIEW-JP-SORA	ソラを使う	Japan/JRA	HORSE/RUN	Loss of concentration in racing/training; behaviour rather than race position.	Review horse-behaviour Concept and relation to race/training context.	P2
REGREV-014	REG-030	NEW-REVIEW-JP-UMAKKE	馬っ気	Japan/JRA	HORSE/WELF	Colloquial male-horse sexual-arousal condition with possible performance context.	Review horse-condition/behaviour Concept and appropriate reader-facing terminology.	P3
REGREV-015	REG-034	NEW-REVIEW-FR-MONTER-AUX-BRAS	monter aux bras	France	RUN/ROLE	Verified French riding idiom describes a specific urging technique not represented by current running-state Concepts.	Decide whether to add a riding-technique Concept or retain register-only explanation.	P2
REGREV-016	REG-035	NEW-REVIEW-FR-COURIR-CACHE	courir caché	France	RUN	Tactical hiding behind other runners overlaps hold-up tactics but adds cover/conservation semantics.	Compare against RUN-013 Hold-up horse and determine separate tactic vs regional relation.	P1
REGREV-017	REG-036	NEW-REVIEW-FR-NEZ-AU-VENT	nez au vent	France	RUN	Verified no-cover racing state has no exact Flat-racing Concept; Harness Cover is discipline-specific.	Create or relate a general no-cover racing-position Concept without flattening into Harness Cover.	P1
REGREV-018	REG-038	NEW-REVIEW-FR-FAUX-TRAIN	faux train	France	RUN	Specific deliberately slow/false pace pattern rather than Pace itself.	Review pace-pattern Concept and relation to RUN-004 Pace and RUN-008 Pacesetter.	P1
REGREV-019	REG-039	NEW-REVIEW-FR-TRAIN-SENATEUR	train de sénateur	France	RUN	Idiomatic slow-pace expression may be register-only rather than a distinct knowledge Concept.	Relate to slow Pace after MASTER-005 relation review; avoid standalone Concept unless user value justifies it.	P3
REGREV-020	REG-040	NEW-REVIEW-FR-CRACK	crack	France	HORSE	Exceptional-horse quality term does not map to rating, class or stakes status.	Review general champion/elite-horse quality Concept with cross-language equivalents.	P2
REGREV-021	REG-041	NEW-REVIEW-FR-MUSIQUE	musique	France	RESULT/MEET	Compact form-history string has jurisdiction-specific encoding and ordering semantics.	Create race-form notation Concept and model France vs GB/IRE ordering differences.	P0
REGREV-022	REG-042	NEW-REVIEW-FR-LEADER-TACTICAL	leader	France	RUN/RELATION	Tactical stablemate leader appears close to North American Rabbit, but equivalence has not been proven.	Compare REG-042 with REG-022 Rabbit in MASTER-005 and decide exact/close/regional-counterpart relation.	P0
REGREV-023	REG-046/REG-059	NEW-REVIEW-AUNZ-MUDLARK	mudlark	Australia/New Zealand	HORSE/SURF	Two current authority sources corroborate wet-track aptitude slang; it describes horse aptitude, not track state.	Promote a wet-track specialist/aptitude Concept only if cross-jurisdiction evidence supports reader value; otherwise keep register-only.	P1
REGREV-024	REG-047	NEW-REVIEW-AU-BACKED-OFF-MAP	backed off the map	Australia	BET	Heavy market support idiom overlaps betting concentration and price movement.	Compare with 一本かぶり and possible market-support Concept during MASTER-005.	P1
REGREV-025	REG-048	NEW-REVIEW-AU-STONE-MOTHERLESS	stone motherless	Australia	RESULT	Slang means a horse finished clearly last, adding margin/emphasis beyond simple last place.	Review result-position slang as register-only vs explicit clear-last Concept.	P3
REGREV-026	REG-049	NEW-REVIEW-AU-UNDER-DOUBLE-WRAPS	under double wraps	Australia	RUN	Strong-travelling/unurged state lacks a reviewed generic Concept and may relate to NZ on the bit.	Compare with REG-055 On the bit/bridle and model a cross-jurisdiction travelling-easily Concept if justified.	P1
REGREV-027	REG-050	NEW-REVIEW-AU-MUG-PUNTER	mug punter	Australia	BET/ROLE	Bettor-person slang repeats ontology gap already exposed by Chalk player and Bridge jumper.	Resolve bettor/person ontology once in MASTER-005 rather than adding isolated person Concepts.	P3
REGREV-028	REG-054	NEW-REVIEW-NZ-GREENLY	greenly	New Zealand	HORSE/RUN	Inexperience-driven erratic/hesitant behaviour is not a running style.	Review horse-behaviour Concept and look for GB/AUS/US equivalents.	P2
REGREV-029	REG-055	NEW-REVIEW-NZ-ON-BIT	on the bit/bridle	New Zealand	RUN	Horse travelling easily with little urging; concept overlaps but is not identical to Under Double Wraps.	Compare REG-055 and REG-049 for broader/narrower or regional-counterpart structure.	P1
REGREV-030	REG-056	NEW-REVIEW-NZ-OFF-BIT	off the bit/bridle	New Zealand	RUN	Opposite state to on the bit/bridle; explicit paired terminology should be modelled together.	Create contrast relation if promoted; search GB/AUS evidence before deciding canonical scope.	P1
REGREV-031	REG-057	NEW-REVIEW-NZ-THREE-QUARTER-PACE	3/4 Pace	New Zealand	TRAIN	Training intensity shorthand is distinct from race Pace.	Review training-intensity subdomain and relation to Gallop/Canter/Workout.	P2
REGREV-032	REG-058	NEW-REVIEW-NZ-HALF-PACE	Half Pace	New Zealand	TRAIN	Training intensity shorthand forms a scale with 3/4 Pace.	Resolve together with REG-057; avoid isolated Concept if a compositional intensity model is better.	P2
REGREV-033	REG-060	NEW-REVIEW-NZ-LANDING-GEAR	landing gear	New Zealand	HORSE/WELF	Current jumps slang for horse legs is understandable but probably not a horse-racing knowledge Concept by itself.	Keep as register-only unless a broader anatomy terminology layer is deliberately added.	P3
