definition_id	concept_id	jurisdiction	authority	discipline	effective_scope	definition_ja_summary	verification_status	source_id	note
HKKR-DEF-014	SURF-062	Hong Kong	HKJC	Flat	current_reference	Normal WateringはHKJC全天候跑道の管理・状態区分の一つでコードNWを用いる。	source_verified	HKKR-SRC-002	Operational AWT state.
HKKR-DEF-015	RTYPE-090	Korea	KRA	Flat	current_2026	KRA 1등급はrating-basedクラスの最上位で、2026施行計画の基本条件はrating 81以上。追加rating条件等が設定される場合がある。	source_verified	HKKR-SRC-009	Season-specific numeric rule.
HKKR-DEF-016	RTYPE-091	Korea	KRA	Flat	current_2026	KRA 2등급は2026基本条件でrating 80以下のクラス区分。	source_verified	HKKR-SRC-009	Current plan.
HKKR-DEF-017	RTYPE-092	Korea	KRA	Flat	current_2026	KRA 3등급は2026基本条件でrating 65以下のクラス区分。	source_verified	HKKR-SRC-009	Current plan.
HKKR-DEF-018	RTYPE-093	Korea	KRA	Flat	current_2026	KRA 4등급は2026基本条件でrating 50以下のクラス区分。	source_verified	HKKR-SRC-009	Current plan.
HKKR-DEF-019	RTYPE-094	Korea	KRA	Flat	current_2026	KRA 5등급は2026基本条件でrating 35以下のクラス区分。	source_verified	HKKR-SRC-009	Current plan.
HKKR-DEF-020	RTYPE-095	Korea	KRA	Flat	current_2026	KRA 6등급は2026施行計画でrating未付与馬を中心とする初級クラスで、별정条件によって編成される。	source_verified	HKKR-SRC-009	Do not translate as a universal maiden class.
HKKR-DEF-021	RTYPE-096	Korea	KRA	Flat	current_2026	대상경주はKRAが主要競走として設定する独立した公式番組区分で、個別競走にGrade/List等が付く場合があっても他国のStakesや日本の重賞と自動同義にはしない。	source_verified	HKKR-SRC-009	Korea-specific race-program category.
HKKR-DEF-022	RTYPE-097	Korea	KRA	Flat	current_2026	특별경주はKRA施行計画で대상경주と別に扱われる特別競走区分。	source_verified	HKKR-SRC-009	Separate from similarly translated Japanese categories.
HKKR-DEF-023	RTYPE-098	Korea	KRA	Flat	current_2026	일반경주はKRAで대상경주・특별경주以外の通常競走群を示す番組区分。	source_verified	HKKR-SRC-009	Same translation can represent a different jurisdiction Concept.
HKKR-DEF-024	WEIGHT-032	Korea	KRA	Flat	current_2026	별정 Aは性別・年齢別に基礎重量を差別化するKRAの別定方式。	source_verified	HKKR-SRC-009	Not JRA Bettei equivalence.
HKKR-DEF-025	WEIGHT-033	Korea	KRA	Flat	current_2026	별정 Bはrating区間別に基礎重量を設定するKRAの別定方式。	source_verified	HKKR-SRC-009	Korea-specific weighting rule.
HKKR-DEF-026	WEIGHT-034	Korea	KRA	Flat	current_2026	별정 Cは6등급を対象に性・年齢別基礎重量へ入着経験等に応じた重量を加えるKRAの別定方式。	source_verified	HKKR-SRC-009	Korea-specific weighting rule.
HKKR-DEF-027	WEIGHT-022	Korea	KRA	Flat	current_2026	KRAの레이팅は競走馬能力を数値化する体系で、2026施行計画では1-140の範囲を用い、rating 1点を0.5kgの重量差として扱う体系説明がある。	source_verified	HKKR-SRC-009	Current-year numeric relation; recheck each season.
HKKR-DEF-028	WEIGHT-003	Korea	KRA	Flat	current_2026	마령중량はKRAが年齢等に基づく重量方式として用いる韓国語公式表現。	source_verified	HKKR-SRC-009	Regional definition on Weight-for-age family.
HKKR-DEF-029	WEIGHT-002	Korea	KRA	Flat	current_2026	핸디캡중량はKRAの能力差に応じて負担重量を調整する重量方式の公式表現。	source_verified	HKKR-SRC-009	Regional handicap-weight label.
HKKR-DEF-030	HORSE-027	Korea	KRA	Flat	current_reference	국산마はKRAの現行データ・番組で国内産馬を区分する公式ラベル。	source_verified	HKKR-SRC-011	Exact registration criteria belong in current KRA rules.
HKKR-DEF-031	HORSE-028	Korea	KRA	Flat	current_reference	외산마はKRAの現行データ・番組で外国産馬を区分する公式ラベル。	source_verified	HKKR-SRC-011	Regional horse-origin category.
