record_kind	target_no	scope_group	country_en	country_ja	country_slug	racing_system	racing_code	race_name	race_name_local	classification_scheme	grade_raw	recognition_scope	ics_part	race_type	surface	distance_m	distance_text	eligibility	usual_month	date_2026	racecourse	purse_2026	currency	purse_basis	source_url	source_kind	last_checked	research_status	notes
coverage	36	v0_1_candidate	India	インド	india																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	37	v0_1_candidate	Malaysia	マレーシア	malaysia																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	38	v0_1_candidate	Thailand	タイ	thailand																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	39	v0_1_candidate	Philippines	フィリピン	philippines																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	40	v0_1_candidate	Mauritius	モーリシャス	mauritius																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	41	v0_1_candidate	Argentina	アルゼンチン	argentina																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	42	v0_1_candidate	Germany	ドイツ	germany																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	43	v0_1_candidate	Italy	イタリア	italy																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	44	v0_1_candidate	Spain	スペイン	spain																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	45	v0_1_candidate	Norway	ノルウェー	norway																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	46	v0_1_candidate	Finland	フィンランド	finland																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	47	v0_1_candidate	Netherlands	オランダ	netherlands																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	48	v0_1_candidate	Switzerland	スイス	switzerland																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	49	v0_1_candidate	Poland	ポーランド	poland																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	50	v0_1_candidate	Romania	ルーマニア	romania																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	51	v0_1_candidate	Serbia	セルビア	serbia																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	52	v0_1_candidate	Slovakia	スロバキア	slovakia																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	53	v0_1_candidate	Cyprus	キプロス	cyprus																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	54	v0_1_candidate	Panama	パナマ	panama																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	55	v0_1_candidate	Kuwait	クウェート	kuwait																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	56	v0_1_candidate	Kenya	ケニア	kenya																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	57	v0_2_candidate	Pakistan	パキスタン	pakistan																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	58	v0_2_candidate	Ecuador	エクアドル	ecuador																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	59	v0_2_candidate	Venezuela	ベネズエラ	venezuela																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	60	v0_2_candidate	Belgium	ベルギー	belgium																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	61	v0_2_candidate	Slovenia	スロベニア	slovenia																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	62	v0_2_candidate	Croatia	クロアチア	croatia																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	63	v0_2_candidate	Dominican Republic	ドミニカ共和国	dominican-republic																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	64	v0_2_candidate	Tunisia	チュニジア	tunisia																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	65	v0_2_candidate	Lebanon	レバノン	lebanon																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	66	v0_2_candidate	Libya	リビア	libya																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	67	v0_2_candidate	Mainland China	中国本土	mainland-china																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	68	v0_2_candidate	Indonesia	インドネシア	indonesia																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	69	v0_2_candidate	Russia	ロシア	russia																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	70	v0_2_candidate	Namibia	ナミビア	namibia																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	71	v0_2_candidate	Nigeria	ナイジェリア	nigeria																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	72	v0_2_candidate	Belize	ベリーズ	belize																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	73	link_or_hold	Colombia	コロンビア	colombia																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	74	link_or_hold	Lithuania	リトアニア	lithuania																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	75	link_or_hold	Estonia	エストニア	estonia																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	76	link_or_hold	Guyana	ガイアナ	guyana																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	77	link_or_hold	Kazakhstan	カザフスタン	kazakhstan																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	78	link_or_hold	Egypt	エジプト	egypt																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	79	link_or_hold	Algeria	アルジェリア	algeria																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	80	link_or_hold	Iran	イラン	iran																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	81	link_or_hold	Vietnam	ベトナム	vietnam																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	82	link_or_hold	Bolivia	ボリビア	bolivia																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	83	link_or_hold	Guatemala	グアテマラ	guatemala																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	84	link_or_hold	Honduras	ホンジュラス	honduras																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	85	link_or_hold	Ghana	ガーナ	ghana																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	86	under_review_special	Saint Kitts and Nevis	セントクリストファー・ネイビス	saint-kitts-and-nevis																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	87	under_review_special	Jordan	ヨルダン	jordan																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	88	under_review_special	Iraq	イラク	iraq																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	89	under_review_special	Azerbaijan	アゼルバイジャン	azerbaijan																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	90	under_review_special	Mongolia	モンゴル	mongolia																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	91	under_review_special	Botswana	ボツワナ	botswana																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	92	exclusion_leaning	Costa Rica	コスタリカ	costa-rica																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	93	exclusion_leaning	Nicaragua	ニカラグア	nicaragua																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	94	exclusion_leaning	El Salvador	エルサルバドル	el-salvador																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	95	exclusion_leaning	Tanzania	タンザニア	tanzania																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	96	archive	Singapore	シンガポール	singapore																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	97	archive	Macau	マカオ	macau																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	98	archive	Greece	ギリシャ	greece																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
race	13	v0_candidate	Japan	日本	japan	JRA flat	thoroughbred_flat	Tokyo Yushun (Japanese Derby)	東京優駿（日本ダービー）	JRA	GⅠ	international	I	flat	turf	2400		3yo	May	2026-05-31	Tokyo	300000000	JPY	first_prize	https://www.jra.go.jp/keiba/g1/derby/	official_or_governing_body_seed	2026-09-06	seeded_needs_revalidation	Seeded from 2026 research; revalidate official purse/race conditions before publication.
race	13	v0_candidate	Japan	日本	japan	JRA jumps	thoroughbred_jumps	Nakayama Grand Jump	中山グランドジャンプ	JRA	J・GⅠ	domestic		jumps	turf	4260		4yo+	April	2026-04-18	Nakayama	70000000	JPY	first_prize	https://www.jra.go.jp/datafile/seiseki/g1/ngj/	official_or_governing_body_seed	2026-09-06	seeded_needs_revalidation	Seeded from 2026 research; revalidate.
race	13	v0_candidate	Japan	日本	japan	NAR dirt grade	local_dirt	Teio Sho	帝王賞	NAR Dirt Grade	JpnⅠ	domestic		flat	dirt	2000		4yo+	July	2026-07-01	Ohi	80000000	JPY	first_prize	https://www.keiba.go.jp/dirtgraderace/2026/0701_teiosho/	official_or_governing_body_seed	2026-09-06	seeded_needs_revalidation	Seeded from 2026 research; revalidate.
race	13	v0_candidate	Japan	日本	japan	NAR dirt grade	local_dirt	Tokyo Daishoten	東京大賞典	NAR/IFHA	GⅠ	international	I	flat	dirt	2000		3yo+	December	2026-12-29	Ohi	100000000	JPY	first_prize	https://www.keiba.go.jp/dirtgraderace/2026/1229_tokyodaishoten/	official_or_governing_body_seed	2026-09-06	seeded_needs_revalidation	Seeded from 2026 research; revalidate.
race	13	v0_candidate	Japan	日本	japan	Banei Tokachi	banei	Banei Kinen	ばんえい記念	Banei Grade	BG1	domestic		banei		200	200m course	4yo+	March	2026-03-22	Obihiro		JPY		https://www.banei-keiba.or.jp/	official_or_governing_body_seed	2026-09-06	seeded_needs_revalidation	Seeded from 2026 research; purse still to verify.
race	14	v0_candidate	Hong Kong	香港	hong-kong	HKJC Thoroughbred	thoroughbred_flat	BMW Hong Kong Derby		HKJC	4yo Classic	domestic		flat	turf	2000		4yo	March	2026-03-22	Sha Tin	26000000	HKD	total	https://racing.hkjc.com/	official_or_governing_body_seed	2026-09-06	seeded_needs_revalidation	Seeded from 2026 research; revalidate official race page.
race	14	v0_candidate	Hong Kong	香港	hong-kong	HKJC Thoroughbred	thoroughbred_flat	FWD QEII Cup		IFHA/HKJC	G1	international	I	flat	turf	2000		3yo+	April	2026-04-26	Sha Tin	30000000	HKD	total	https://racing.hkjc.com/	official_or_governing_body_seed	2026-09-06	seeded_needs_revalidation	Seeded from 2026 research; revalidate.
race	14	v0_candidate	Hong Kong	香港	hong-kong	HKJC Thoroughbred	thoroughbred_flat	Champions Mile		IFHA/HKJC	G1	international	I	flat	turf	1600		3yo+	April	2026-04-26	Sha Tin		HKD		https://racing.hkjc.com/	official_or_governing_body_seed	2026-09-06	seeded_needs_revalidation	Seeded from 2026 research; purse to verify.
race	14	v0_candidate	Hong Kong	香港	hong-kong	HKJC Thoroughbred	thoroughbred_flat	Chairman's Sprint Prize		IFHA/HKJC	G1	international	I	flat	turf	1200		3yo+	April	2026-04-26	Sha Tin		HKD		https://racing.hkjc.com/	official_or_governing_body_seed	2026-09-06	seeded_needs_revalidation	Seeded from 2026 research; purse to verify.
race	01	v0_candidate	United Arab Emirates	UAE	united-arab-emirates	Emirates Racing Thoroughbred	thoroughbred_flat	Dubai World Cup		IFHA	G1	international	I	flat	dirt	2000		3yo+	March	2026-03-28	Meydan	12000000	USD	total	https://dubairacingclub.com/	official_or_governing_body_seed	2026-09-06	seeded_needs_revalidation	Seeded from 2026 research; revalidate.
race	01	v0_candidate	United Arab Emirates	UAE	united-arab-emirates	Emirates Racing Thoroughbred	thoroughbred_flat	Dubai Sheema Classic		IFHA	G1	international	I	flat	turf	2410		3yo+	March	2026-03-28	Meydan		USD		https://dubairacingclub.com/	official_or_governing_body_seed	2026-09-06	seeded_needs_revalidation	Seeded from 2026 research; purse to verify.
race	01	v0_candidate	United Arab Emirates	UAE	united-arab-emirates	Purebred Arabian	purebred_arabian	Dubai Kahayla Classic		IFAHR	G1 PA	international		flat	dirt	2000		Purebred Arabian	March	2026-03-28	Meydan	1000000	USD	total	https://emiratesracing.com/	official_or_governing_body_seed	2026-09-06	seeded_needs_revalidation	Seeded from 2026 research; revalidate.
race	02	v0_candidate	South Korea	韓国	south-korea	KRA Thoroughbred	thoroughbred_flat	Korea Cup		KRA/IFHA	KOR G1 / G3	mixed	II	flat	dirt	1800		3yo+	September		Seoul	1600000000	KRW	total	https://race.kra.co.kr/globalEn/racingPrincipal.do	official_or_governing_body_seed	2026-09-06	seeded_needs_revalidation	Seeded from 2026 research; exact 2026 date still to verify.
race	02	v0_candidate	South Korea	韓国	south-korea	KRA Thoroughbred	thoroughbred_flat	Korea Sprint		KRA/IFHA	KOR G1 / G3	mixed	II	flat	dirt	1200		3yo+	September		Seoul	1400000000	KRW	total	https://race.kra.co.kr/globalEn/racingPrincipal.do	official_or_governing_body_seed	2026-09-06	seeded_needs_revalidation	Seeded from 2026 research; exact 2026 date still to verify.
race	15	v0_candidate	New Zealand	ニュージーランド	new-zealand	NZ Thoroughbred	thoroughbred_flat	New Zealand Derby		NZTR	G1	international	I	flat	turf	2400		3yo	March	2026-03-07	Ellerslie	1250000	NZD	total	https://nztr.co.nz/	official_or_governing_body_seed	2026-09-06	seeded_needs_revalidation	Seeded from 2026 research; revalidate.
race	15	v0_candidate	New Zealand	ニュージーランド	new-zealand	NZ Thoroughbred	thoroughbred_flat	Bonecrusher New Zealand Stakes		NZTR	G1	international	I	flat	turf	2000			March	2026-03-07	Ellerslie	1000000	NZD	total	https://nztr.co.nz/	official_or_governing_body_seed	2026-09-06	seeded_needs_revalidation	Seeded from 2026 research; revalidate.
race	10	v0_candidate	Qatar	カタール	qatar	QREC Thoroughbred	thoroughbred_flat	H.H. The Amir Trophy		QREC/IFHA	QA G1 / international G3	mixed	III	flat	turf	2400			February		Al Rayyan	2500000	USD	total	https://qrec.gov.qa/	official_or_governing_body_seed	2026-09-06	seeded_needs_revalidation	Seeded from 2026 research; exact date to verify.
race	10	v0_candidate	Qatar	カタール	qatar	QREC Arabian	purebred_arabian	H.H. The Amir Sword		IFAHR	G1 PA	international		flat	turf	2400		Purebred Arabian	February		Al Rayyan	2500000	USD	total	https://qrec.gov.qa/	official_or_governing_body_seed	2026-09-06	seeded_needs_revalidation	Seeded from 2026 research; exact date to verify.
