source_id	jurisdiction	authority	source_class	title	url	checked_at	currentness	covers	note
P1-SRC-020	US	Equibase	official_industry_database	Race Comments	https://www.equibase.com/products/cc-comments.cfm	2026-09-11	current_reference	Bumped; Checked; race-comment events	Equibase standardized chart-comment vocabulary directly defines Bumped and Checked in North American Thoroughbred charts. Other trip terms remain candidate unless separately confirmed.
P1-SRC-021	GB	British Horseracing Authority	official_regulations	Point-to-Point Regulations — Appendix R Equine Headgear	https://media.britishhorseracing.com/bha/p2p/Point_to_Point_Regulations.pdf	2026-09-11	current_reference	Blinkers; Cheek Pieces; Hood; Visor; Eyeshield; Eye Cover	BHA Appendix R distinguishes headgear types visually and explicitly differentiates visor from blinkers. Supports GB headgear semantics.
P1-SRC-022	Japan	JRA	official_glossary	競馬で使用する様々な道具	https://www.jra.go.jp/kouza/yougo/c10040_list.html	2026-09-11	current_reference	Tongue tie; Shadow roll; Cheekpieces; Bridle	JRA defines 舌縛り, シャドーロール and チークピーシーズ and describes 頭絡. Use with the English dictionary source for label mapping.
P1-SRC-023	Japan/International	JRA	official_overseas_dictionary	馬装具 — 海外競馬英和辞典	https://www.jra.go.jp/keiba/overseas/yougo/c10100_list.html	2026-09-11	current_reference	Bit; Bridle; Cheek pieces; Hood; Reins; Shadow roll; Tongue tie	JRA provides English-to-Japanese mappings for common horse gear. Pair with equipment glossary or authority rules when a functional definition is claimed.
P1-SRC-024	Japan/International	JRA	official_overseas_dictionary	騎手装具他 — 海外競馬英和辞典	https://www.jra.go.jp/keiba/overseas/yougo/c10090_list.html	2026-09-11	current_reference	Whip; Stirrup; Saddle	JRA maps whip to ムチ and provides standard rider-equipment mappings.
P1-SRC-025	Australia/Victoria	Racing Victoria	official_training_policy	Mandatory Trackwork Rider Accreditation	https://www.racingvictoria.com.au/participants/trackwork-rider/mandatory-trackwork-rider-accreditation	2026-09-11	current_2026	Trackwork; Jump-outs; Slow Work; Fast Work	Racing Victoria currently accredits trackwork riders for Slow Work, Fast Work and Jump Outs and requires specific competencies for each level.
P1-SRC-026	Australia/Victoria	Racing Victoria	official_programme	Racing Calendar	https://www.racingvictoria.com.au/racing/race-calendar	2026-09-11	current_2026	Jump-outs; race programmes	Current Racing Victoria calendar publishes a dedicated 2026 Jump-Outs schedule, corroborating operational use.
P1-SRC-027	US	United States Trotting Association	national_harness_rulebook	USTA Rule Book — Qualifying Race definition	https://www.ustrotting.com/assets/pdf/USTARuleBook2022.pdf	2026-09-11	legacy_rule_text_current_hub_corroboration	Qualifying race; Qualifier	Rule 4.147 defines a Qualifying Race as a race in which a horse establishes ability to participate at a race meeting under qualifying standards. Current USTA regulatory services corroborate ongoing qualifier usage.
P1-SRC-028	Japan	JRA	official_glossary	生産、育成関係、飼糧など	https://www.jra.go.jp/kouza/yougo/c10070_list.html	2026-09-11	current_reference	Broodmare	JRA defines 繁殖牝馬 as a mare kept for producing foals; supports broodmare semantics.
P1-SRC-029	US	American Quarter Horse Association	official_registration_guidance	How do I register a foal with AQHA?	https://helpcenter.aqha.com/knowledge/-how-do-i-register-a-foal-with-aqha	2026-09-11	current_reference	American Quarter Horse; Registration; Foal	AQHA current guidance requires a registration application and registered parents for an American Quarter Horse foal. Supports registration semantics within AQHA scope.
P1-SRC-030	International	IFHA	international_agreement	IABRW Article 12 — Definition of a Thoroughbred	https://www.ifhaonline.org/default.asp?area=2&section=IABRW	2026-09-11	current_reference	Breeder; Registration; Foal; Stud Book	Current IFHA Article 12 identifies the breeder of a Thoroughbred foal as the owner(s) of the mare at foaling and specifies the information required for the foal to be registered. This is a Thoroughbred-rule definition, not a universal breeder ownership rule.
P1-SRC-031	GB	British Horseracing Authority	official_raceday_operations	Raceday operations and regulation	https://www.britishhorseracing.com/about/the-bha/what-we-do/raceday-operations-regulation/	2026-09-11	current_reference	Starter; Judge; Clerk of the Scales; veterinary and integrity roles	BHA describes Starters as starting races to achieve a fair start and Judges as determining finishing order; supports generic role semantics while official titles remain jurisdiction-specific.
P1-SRC-032	Japan/International	JRA	official_overseas_dictionary	groom — 海外競馬英和辞典	https://www.jra.go.jp/keiba/overseas/yougo/w137.html	2026-09-11	current_reference	Groom	JRA maps groom to 厩務員. Pair with JRA's participant glossary for the daily-care role definition.
P1-SRC-033	Japan/International	JRA	official_overseas_dictionary	調教 — 海外競馬英和辞典	https://www.jra.go.jp/keiba/overseas/yougo/c10070_list.html	2026-09-11	current_reference	Breezing; Canter; Handily; training terminology	JRA's overseas racing dictionary maps breezing to 馬なり, canter to キャンター／駈歩 and handily to 強めの調教. These mappings are retained as regional translation semantics rather than universal workout-code definitions.
